MAC,IP,protocol,mulip
00:0c:29:77:3b:af,fe80::535:7b17:55d2:b0ca,Report v1,ff02::1:ffd2:b0ca
00:0c:29:77:3b:af,fe80::535:7b17:55d2:b0ca,Report v1,ff02::c
00:0c:29:77:3b:af,fe80::535:7b17:55d2:b0ca,Report v1,ff02::1:ff21:be12
00:0c:29:77:3b:af,fe80::535:7b17:55d2:b0ca,Report v1,ff02::1:3
00:0c:29:77:3b:af,fe80::535:7b17:55d2:b0ca,Report v1,ff02::fb
00:50:56:c0:00:02,fe80::cbea:9338:c8bb:5317,Report v1,ff02::1:ffbb:5317
00:50:56:c0:00:02,fe80::cbea:9338:c8bb:5317,Report v1,ff02::1:3
00:50:56:c0:00:02,fe80::cbea:9338:c8bb:5317,Report v1,ff02::fb
00:50:56:c0:00:02,fe80::cbea:9338:c8bb:5317,Report v1,ff02::c
ca:01:07:3b:00:08,fe80::c801:7ff:fe3b:8,Report v1,ff02::2
ca:01:07:3b:00:08,fe80::c801:7ff:fe3b:8,Report v1,ff02::1:ff00:1
ca:01:07:3b:00:08,fe80::c801:7ff:fe3b:8,Report v1,ff02::1:ff3b:8
