Destination,Nexthop,Flag,Metric,Refcnt,Use,If
2001:a:b:c::/64,[::],U,100,1,0,eth0
fe80::/64,[::],U,1024,2,0,eth0
[::]/0,fe80::c801:7ff:fe3b:8,UG,100,8,0,eth0
localhost/128,[::],Un,0,5,0,lo
2001:a:b:c:2f3b:681d:45b5:b57b/128,[::],Un,0,3,0,eth0
fe80::2cc4:e237:ed99:86bb/128,[::],Un,0,3,0,eth0
ff00::/8,[::],U,256,5,0,eth0
[::]/0,[::],!n,-1,1,0,lo
2001:a:b:c::/64,[::],U,100,1,0,eth0
fe80::/64,[::],U,1024,2,0,eth0
[::]/0,fe80::c801:7ff:fe3b:8,UG,100,8,0,eth0
localhost/128,[::],Un,0,5,0,lo
2001:a:b:c::/128,[::],Un,0,3,0,eth0
2001:a:b:c:2f3b:681d:45b5:b57b/128,[::],Un,0,4,0,eth0
fe80::/128,[::],Un,0,3,0,eth0
fe80::2cc4:e237:ed99:86bb/128,[::],Un,0,4,0,eth0
ff00::/8,[::],U,256,5,0,eth0
[::]/0,[::],!n,-1,1,0,lo
