time,src MAC,des MAC,source IP,destination IP,protocol,length
1758212629.570771,00:0c:29:c2:dc:18,ca:01:07:3b:00:08,192.168.0.3,192.168.0.1,17,
1758212629.5710313,00:0c:29:c2:dc:18,ca:01:07:3b:00:08,192.168.0.3,192.168.0.1,17,
1758212629.5712364,00:0c:29:c2:dc:18,ca:01:07:3b:00:08,192.168.0.3,192.168.0.1,17,
1758212629.5730479,ca:01:07:3b:00:08,00:0c:29:c2:dc:18,192.168.0.1,192.168.0.3,1,
1758212629.573159,ca:01:07:3b:00:08,00:0c:29:c2:dc:18,192.168.0.1,192.168.0.3,1,
1758212629.5732164,00:0c:29:c2:dc:18,ca:01:07:3b:00:08,192.168.0.3,192.168.0.1,17,
1758212629.573252,ca:01:07:3b:00:08,00:0c:29:c2:dc:18,192.168.0.1,192.168.0.3,1,
1758212629.5733187,00:0c:29:c2:dc:18,ca:01:07:3b:00:08,192.168.0.3,192.168.0.1,17,
1758212629.573388,00:0c:29:c2:dc:18,ca:01:07:3b:00:08,192.168.0.3,192.168.0.1,17,
1758212629.5833056,ca:01:07:3b:00:08,00:0c:29:c2:dc:18,192.168.0.1,192.168.0.3,1,
1758212629.5833058,ca:01:07:3b:00:08,00:0c:29:c2:dc:18,192.168.0.1,192.168.0.3,1,
1758212629.5834355,ca:01:07:3b:00:08,00:0c:29:c2:dc:18,192.168.0.1,192.168.0.3,1,
1758212629.5838668,00:0c:29:c2:dc:18,ca:01:07:3b:00:08,192.168.0.3,192.168.0.1,17,
1758212629.5839236,00:0c:29:c2:dc:18,ca:01:07:3b:00:08,192.168.0.3,192.168.0.1,17,
1758212629.5934532,ca:01:07:3b:00:08,00:0c:29:c2:dc:18,192.168.0.1,192.168.0.3,1,
1758212629.5934982,ca:01:07:3b:00:08,00:0c:29:c2:dc:18,192.168.0.1,192.168.0.3,1,
1758212629.5935757,00:0c:29:c2:dc:18,ca:01:07:3b:00:08,192.168.0.3,192.168.0.1,17,
1758212629.594237,00:0c:29:c2:dc:18,ca:01:07:3b:00:08,192.168.0.3,192.168.0.1,17,
1758212629.604302,ca:01:07:3b:00:08,00:0c:29:c2:dc:18,192.168.0.1,192.168.0.3,1,
