time,MAC,packet
2025-09-18 12:23:49.570771,00:0c:29:c2:dc:18,Ether / IP / UDP / DNS Qry b'mobile.events.data.microsoft.com.'
2025-09-18 12:23:49.571031,00:0c:29:c2:dc:18,Ether / IP / UDP / DNS Qry b'mobile.events.data.microsoft.com.'
2025-09-18 12:23:49.571236,00:0c:29:c2:dc:18,Ether / IP / UDP / DNS Qry b'mobile.events.data.microsoft.com.'
2025-09-18 12:23:49.573048,ca:01:07:3b:00:08,Ether / IP / ICMP 192.168.0.1 > 192.168.0.3 dest-unreach port-unreachable / IPerror / UDPerror
2025-09-18 12:23:49.573159,ca:01:07:3b:00:08,Ether / IP / ICMP 192.168.0.1 > 192.168.0.3 dest-unreach port-unreachable / IPerror / UDPerror
2025-09-18 12:23:49.573216,00:0c:29:c2:dc:18,Ether / IP / UDP / DNS Qry b'mobile.events.data.microsoft.com.'
2025-09-18 12:23:49.573252,ca:01:07:3b:00:08,Ether / IP / ICMP 192.168.0.1 > 192.168.0.3 dest-unreach port-unreachable / IPerror / UDPerror
2025-09-18 12:23:49.573319,00:0c:29:c2:dc:18,Ether / IP / UDP / DNS Qry b'mobile.events.data.microsoft.com.'
2025-09-18 12:23:49.573388,00:0c:29:c2:dc:18,Ether / IP / UDP / DNS Qry b'mobile.events.data.microsoft.com.'
2025-09-18 12:23:49.583306,ca:01:07:3b:00:08,Ether / IP / ICMP 192.168.0.1 > 192.168.0.3 dest-unreach port-unreachable / IPerror / UDPerror
2025-09-18 12:23:49.583306,ca:01:07:3b:00:08,Ether / IP / ICMP 192.168.0.1 > 192.168.0.3 dest-unreach port-unreachable / IPerror / UDPerror
2025-09-18 12:23:49.583436,ca:01:07:3b:00:08,Ether / IP / ICMP 192.168.0.1 > 192.168.0.3 dest-unreach port-unreachable / IPerror / UDPerror
2025-09-18 12:23:49.583867,00:0c:29:c2:dc:18,Ether / IP / UDP / DNS Qry b'mobile.events.data.microsoft.com.'
2025-09-18 12:23:49.583924,00:0c:29:c2:dc:18,Ether / IP / UDP / DNS Qry b'mobile.events.data.microsoft.com.'
2025-09-18 12:23:49.593453,ca:01:07:3b:00:08,Ether / IP / ICMP 192.168.0.1 > 192.168.0.3 dest-unreach port-unreachable / IPerror / UDPerror
2025-09-18 12:23:49.593498,ca:01:07:3b:00:08,Ether / IP / ICMP 192.168.0.1 > 192.168.0.3 dest-unreach port-unreachable / IPerror / UDPerror
2025-09-18 12:23:49.593576,00:0c:29:c2:dc:18,Ether / IP / UDP / DNS Qry b'mobile.events.data.microsoft.com.'
2025-09-18 12:23:49.594237,00:0c:29:c2:dc:18,Ether / IP / UDP / DNS Qry b'mobile.events.data.microsoft.com.'
2025-09-18 12:23:49.604302,ca:01:07:3b:00:08,Ether / IP / ICMP 192.168.0.1 > 192.168.0.3 dest-unreach port-unreachable / IPerror / UDPerror
2025-09-18 12:23:49.604350,ca:01:07:3b:00:08,Ether / IP / ICMP 192.168.0.1 > 192.168.0.3 dest-unreach port-unreachable / IPerror / UDPerror
2025-09-18 12:23:49.604716,00:0c:29:c2:dc:18,Ether / IP / UDP / DNS Qry b'mobile.events.data.microsoft.com.'
2025-09-18 12:23:49.604833,00:0c:29:c2:dc:18,Ether / IP / UDP / DNS Qry b'mobile.events.data.microsoft.com.'
2025-09-18 12:23:49.604905,00:0c:29:c2:dc:18,Ether / IP / UDP / DNS Qry b'mobile.events.data.microsoft.com.'
2025-09-18 12:23:49.614821,ca:01:07:3b:00:08,Ether / IP / ICMP 192.168.0.1 > 192.168.0.3 dest-unreach port-unreachable / IPerror / UDPerror
2025-09-18 12:23:49.614822,ca:01:07:3b:00:08,Ether / IP / ICMP 192.168.0.1 > 192.168.0.3 dest-unreach port-unreachable / IPerror / UDPerror
2025-09-18 12:23:49.614879,ca:01:07:3b:00:08,Ether / IP / ICMP 192.168.0.1 > 192.168.0.3 dest-unreach port-unreachable / IPerror / UDPerror
2025-09-18 12:23:49.614999,00:0c:29:c2:dc:18,Ether / IP / UDP / DNS Qry b'mobile.events.data.microsoft.com.'
2025-09-18 12:23:49.615143,00:0c:29:c2:dc:18,Ether / IP / UDP / DNS Qry b'mobile.events.data.microsoft.com.'
2025-09-18 12:23:49.615324,00:0c:29:c2:dc:18,Ether / IP / UDP / DNS Qry b'mobile.events.data.microsoft.com.'
2025-09-18 12:23:49.625265,ca:01:07:3b:00:08,Ether / IP / ICMP 192.168.0.1 > 192.168.0.3 dest-unreach port-unreachable / IPerror / UDPerror
2025-09-18 12:23:49.625592,ca:01:07:3b:00:08,Ether / IP / ICMP 192.168.0.1 > 192.168.0.3 dest-unreach port-unreachable / IPerror / UDPerror
2025-09-18 12:23:49.625666,ca:01:07:3b:00:08,Ether / IP / ICMP 192.168.0.1 > 192.168.0.3 dest-unreach port-unreachable / IPerror / UDPerror
2025-09-18 12:23:49.625903,00:0c:29:c2:dc:18,Ether / IP / UDP / DNS Qry b'mobile.events.data.microsoft.com.'
2025-09-18 12:23:49.625983,00:0c:29:c2:dc:18,Ether / IP / UDP / DNS Qry b'mobile.events.data.microsoft.com.'
2025-09-18 12:23:49.635872,ca:01:07:3b:00:08,Ether / IP / ICMP 192.168.0.1 > 192.168.0.3 dest-unreach port-unreachable / IPerror / UDPerror
2025-09-18 12:23:49.635872,ca:01:07:3b:00:08,Ether / IP / ICMP 192.168.0.1 > 192.168.0.3 dest-unreach port-unreachable / IPerror / UDPerror
2025-09-18 12:23:49.635996,00:0c:29:c2:dc:18,Ether / IP / UDP / DNS Qry b'mobile.events.data.microsoft.com.'
2025-09-18 12:23:49.636049,00:0c:29:c2:dc:18,Ether / IP / UDP / DNS Qry b'mobile.events.data.microsoft.com.'
2025-09-18 12:23:49.647742,ca:01:07:3b:00:08,Ether / IP / ICMP 192.168.0.1 > 192.168.0.3 dest-unreach port-unreachable / IPerror / UDPerror
2025-09-18 12:23:49.647813,ca:01:07:3b:00:08,Ether / IP / ICMP 192.168.0.1 > 192.168.0.3 dest-unreach port-unreachable / IPerror / UDPerror
2025-09-18 12:23:52.207905,00:0c:29:77:3b:af,Ether / fe80::535:7b17:55d2:b0ca > ff02::16 (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport2
2025-09-18 12:23:52.209141,00:0c:29:77:3b:af,Ether / fe80::535:7b17:55d2:b0ca > ff02::16 (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport2
2025-09-18 12:23:52.211614,ca:01:07:3b:00:08,Ether / fe80::c801:7ff:fe3b:8 > ff02::16 (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport2
2025-09-18 12:23:52.212696,ca:01:07:3b:00:08,Ether / fe80::c801:7ff:fe3b:8 > ff02::16 (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport2
2025-09-18 12:23:52.351560,00:0c:29:c2:dc:18,Ether / fe80::2cc4:e237:ed99:86bb > ff02::1 (0) / IPv6ExtHdrHopByHop / ICMPv6MLQuery
2025-09-18 12:23:52.352160,00:50:56:c0:00:02,Ether / fe80::cbea:9338:c8bb:5317 > ff02::1:ffbb:5317 (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2025-09-18 12:23:52.352161,00:50:56:c0:00:02,Ether / fe80::cbea:9338:c8bb:5317 > ff02::1:3 (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2025-09-18 12:23:52.352291,00:50:56:c0:00:02,Ether / fe80::cbea:9338:c8bb:5317 > ff02::fb (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2025-09-18 12:23:52.352377,00:50:56:c0:00:02,Ether / fe80::cbea:9338:c8bb:5317 > ff02::c (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2025-09-18 12:23:52.354975,00:0c:29:77:3b:af,Ether / fe80::535:7b17:55d2:b0ca > ff02::1:ffd2:b0ca (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2025-09-18 12:23:52.355010,00:0c:29:c2:dc:18,Ether / fe80::2cc4:e237:ed99:86bb > ff02::1 (0) / IPv6ExtHdrHopByHop / ICMPv6MLQuery
2025-09-18 12:23:52.355584,00:50:56:c0:00:02,Ether / fe80::cbea:9338:c8bb:5317 > ff02::1:ffbb:5317 (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2025-09-18 12:23:52.355584,00:50:56:c0:00:02,Ether / fe80::cbea:9338:c8bb:5317 > ff02::1:3 (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2025-09-18 12:23:52.355584,00:50:56:c0:00:02,Ether / fe80::cbea:9338:c8bb:5317 > ff02::fb (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2025-09-18 12:23:52.355584,00:50:56:c0:00:02,Ether / fe80::cbea:9338:c8bb:5317 > ff02::c (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2025-09-18 12:23:52.356168,00:0c:29:77:3b:af,Ether / fe80::535:7b17:55d2:b0ca > ff02::c (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2025-09-18 12:23:52.358238,00:0c:29:77:3b:af,Ether / fe80::535:7b17:55d2:b0ca > ff02::1:ff21:be12 (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2025-09-18 12:23:52.359290,00:0c:29:77:3b:af,Ether / fe80::535:7b17:55d2:b0ca > ff02::1:3 (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2025-09-18 12:23:52.360249,00:0c:29:77:3b:af,Ether / fe80::535:7b17:55d2:b0ca > ff02::fb (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2025-09-18 12:23:52.361289,00:0c:29:77:3b:af,Ether / fe80::535:7b17:55d2:b0ca > ff02::1:ffd2:b0ca (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
