time,MAC,packet
2025-09-18 12:23:49.573048,ca:01:07:3b:00:08,###[ Ethernet ]### dst = 00:0c:29:c2:dc:18 src = ca:01:07:3b:00:08 type = IPv4 ###[ IP ]### version = 4 ihl = 5 tos = 0xc0 len = 56 id = 15151 flags = frag = 0 ttl = 255 proto = icmp chksum = 0xfe80 src = 192.168.0.1 dst = 192.168.0.3 \options \ ###[ ICMP ]### type = dest-unreach code = port-unreachable chksum = 0xce7f reserved = 0 length = 0 nexthopmtu= 0 unused = b'' extpad = b'' ext = None ###[ IP in ICMP ]### version = 4 ihl = 5 tos = 0x0 len = 78 id = 64622 flags = DF frag = 0 ttl = 63 proto = udp chksum = 0xbddb src = 192.168.0.3 dst = 192.168.0.1 \options \ ###[ UDP in ICMP ]### sport = 64688 dport = domain len = 58 chksum = 0x315d
2025-09-18 12:23:49.573159,ca:01:07:3b:00:08,###[ Ethernet ]### dst = 00:0c:29:c2:dc:18 src = ca:01:07:3b:00:08 type = IPv4 ###[ IP ]### version = 4 ihl = 5 tos = 0xc0 len = 56 id = 15152 flags = frag = 0 ttl = 255 proto = icmp chksum = 0xfe7f src = 192.168.0.1 dst = 192.168.0.3 \options \ ###[ ICMP ]### type = dest-unreach code = port-unreachable chksum = 0x6274 reserved = 0 length = 0 nexthopmtu= 0 unused = b'' extpad = b'' ext = None ###[ IP in ICMP ]### version = 4 ihl = 5 tos = 0x0 len = 78 id = 61978 flags = DF frag = 0 ttl = 63 proto = udp chksum = 0xc82f src = 192.168.0.3 dst = 192.168.0.1 \options \ ###[ UDP in ICMP ]### sport = 51009 dport = domain len = 58 chksum = 0xd2d7
2025-09-18 12:23:49.573252,ca:01:07:3b:00:08,###[ Ethernet ]### dst = 00:0c:29:c2:dc:18 src = ca:01:07:3b:00:08 type = IPv4 ###[ IP ]### version = 4 ihl = 5 tos = 0xc0 len = 56 id = 15153 flags = frag = 0 ttl = 255 proto = icmp chksum = 0xfe7e src = 192.168.0.1 dst = 192.168.0.3 \options \ ###[ ICMP ]### type = dest-unreach code = port-unreachable chksum = 0xe7d9 reserved = 0 length = 0 nexthopmtu= 0 unused = b'' extpad = b'' ext = None ###[ IP in ICMP ]### version = 4 ihl = 5 tos = 0x0 len = 78 id = 58792 flags = DF frag = 0 ttl = 63 proto = udp chksum = 0xd4a1 src = 192.168.0.3 dst = 192.168.0.1 \options \ ###[ UDP in ICMP ]### sport = 22242 dport = domain len = 58 chksum = 0xbdd1
2025-09-18 12:23:49.583306,ca:01:07:3b:00:08,###[ Ethernet ]### dst = 00:0c:29:c2:dc:18 src = ca:01:07:3b:00:08 type = IPv4 ###[ IP ]### version = 4 ihl = 5 tos = 0xc0 len = 56 id = 15154 flags = frag = 0 ttl = 255 proto = icmp chksum = 0xfe7d src = 192.168.0.1 dst = 192.168.0.3 \options \ ###[ ICMP ]### type = dest-unreach code = port-unreachable chksum = 0x57eb reserved = 0 length = 0 nexthopmtu= 0 unused = b'' extpad = b'' ext = None ###[ IP in ICMP ]### version = 4 ihl = 5 tos = 0x0 len = 78 id = 34526 flags = DF frag = 0 ttl = 63 proto = udp chksum = 0x336c src = 192.168.0.3 dst = 192.168.0.1 \options \ ###[ UDP in ICMP ]### sport = 34121 dport = domain len = 58 chksum = 0x1f59
2025-09-18 12:23:49.583306,ca:01:07:3b:00:08,###[ Ethernet ]### dst = 00:0c:29:c2:dc:18 src = ca:01:07:3b:00:08 type = IPv4 ###[ IP ]### version = 4 ihl = 5 tos = 0xc0 len = 56 id = 15155 flags = frag = 0 ttl = 255 proto = icmp chksum = 0xfe7c src = 192.168.0.1 dst = 192.168.0.3 \options \ ###[ ICMP ]### type = dest-unreach code = port-unreachable chksum = 0x35e1 reserved = 0 length = 0 nexthopmtu= 0 unused = b'' extpad = b'' ext = None ###[ IP in ICMP ]### version = 4 ihl = 5 tos = 0x0 len = 78 id = 43548 flags = DF frag = 0 ttl = 63 proto = udp chksum = 0x102e src = 192.168.0.3 dst = 192.168.0.1 \options \ ###[ UDP in ICMP ]### sport = 30288 dport = domain len = 58 chksum = 0x505c
2025-09-18 12:23:49.583436,ca:01:07:3b:00:08,###[ Ethernet ]### dst = 00:0c:29:c2:dc:18 src = ca:01:07:3b:00:08 type = IPv4 ###[ IP ]### version = 4 ihl = 5 tos = 0xc0 len = 56 id = 15156 flags = frag = 0 ttl = 255 proto = icmp chksum = 0xfe7b src = 192.168.0.1 dst = 192.168.0.3 \options \ ###[ ICMP ]### type = dest-unreach code = port-unreachable chksum = 0xf429 reserved = 0 length = 0 nexthopmtu= 0 unused = b'' extpad = b'' ext = None ###[ IP in ICMP ]### version = 4 ihl = 5 tos = 0x0 len = 78 id = 45261 flags = DF frag = 0 ttl = 63 proto = udp chksum = 0x97d src = 192.168.0.3 dst = 192.168.0.1 \options \ ###[ UDP in ICMP ]### sport = 42342 dport = domain len = 58 chksum = 0x62fd
2025-09-18 12:23:49.593453,ca:01:07:3b:00:08,###[ Ethernet ]### dst = 00:0c:29:c2:dc:18 src = ca:01:07:3b:00:08 type = IPv4 ###[ IP ]### version = 4 ihl = 5 tos = 0xc0 len = 56 id = 15157 flags = frag = 0 ttl = 255 proto = icmp chksum = 0xfe7a src = 192.168.0.1 dst = 192.168.0.3 \options \ ###[ ICMP ]### type = dest-unreach code = port-unreachable chksum = 0xf19c reserved = 0 length = 0 nexthopmtu= 0 unused = b'' extpad = b'' ext = None ###[ IP in ICMP ]### version = 4 ihl = 5 tos = 0x0 len = 78 id = 27285 flags = DF frag = 0 ttl = 63 proto = udp chksum = 0x4fb5 src = 192.168.0.3 dst = 192.168.0.1 \options \ ###[ UDP in ICMP ]### sport = 40150 dport = domain len = 58 chksum = 0x6e1a
2025-09-18 12:23:49.593498,ca:01:07:3b:00:08,###[ Ethernet ]### dst = 00:0c:29:c2:dc:18 src = ca:01:07:3b:00:08 type = IPv4 ###[ IP ]### version = 4 ihl = 5 tos = 0xc0 len = 56 id = 15158 flags = frag = 0 ttl = 255 proto = icmp chksum = 0xfe79 src = 192.168.0.1 dst = 192.168.0.3 \options \ ###[ ICMP ]### type = dest-unreach code = port-unreachable chksum = 0xe8b1 reserved = 0 length = 0 nexthopmtu= 0 unused = b'' extpad = b'' ext = None ###[ IP in ICMP ]### version = 4 ihl = 5 tos = 0x0 len = 78 id = 27286 flags = DF frag = 0 ttl = 63 proto = udp chksum = 0x4fb4 src = 192.168.0.3 dst = 192.168.0.1 \options \ ###[ UDP in ICMP ]### sport = 40150 dport = domain len = 58 chksum = 0x7705
2025-09-18 12:23:49.604302,ca:01:07:3b:00:08,###[ Ethernet ]### dst = 00:0c:29:c2:dc:18 src = ca:01:07:3b:00:08 type = IPv4 ###[ IP ]### version = 4 ihl = 5 tos = 0xc0 len = 56 id = 15159 flags = frag = 0 ttl = 255 proto = icmp chksum = 0xfe78 src = 192.168.0.1 dst = 192.168.0.3 \options \ ###[ ICMP ]### type = dest-unreach code = port-unreachable chksum = 0xf19c reserved = 0 length = 0 nexthopmtu= 0 unused = b'' extpad = b'' ext = None ###[ IP in ICMP ]### version = 4 ihl = 5 tos = 0x0 len = 78 id = 44145 flags = DF frag = 0 ttl = 63 proto = udp chksum = 0xdd9 src = 192.168.0.3 dst = 192.168.0.1 \options \ ###[ UDP in ICMP ]### sport = 58101 dport = domain len = 58 chksum = 0x27fb
2025-09-18 12:23:49.604350,ca:01:07:3b:00:08,###[ Ethernet ]### dst = 00:0c:29:c2:dc:18 src = ca:01:07:3b:00:08 type = IPv4 ###[ IP ]### version = 4 ihl = 5 tos = 0xc0 len = 56 id = 15160 flags = frag = 0 ttl = 255 proto = icmp chksum = 0xfe77 src = 192.168.0.1 dst = 192.168.0.3 \options \ ###[ ICMP ]### type = dest-unreach code = port-unreachable chksum = 0xe8b1 reserved = 0 length = 0 nexthopmtu= 0 unused = b'' extpad = b'' ext = None ###[ IP in ICMP ]### version = 4 ihl = 5 tos = 0x0 len = 78 id = 44146 flags = DF frag = 0 ttl = 63 proto = udp chksum = 0xdd8 src = 192.168.0.3 dst = 192.168.0.1 \options \ ###[ UDP in ICMP ]### sport = 58101 dport = domain len = 58 chksum = 0x30e6
