time,MAC,packet
2025-09-18 12:23:49.570771,00:0c:29:c2:dc:18,###[ Ethernet ]### dst = ca:01:07:3b:00:08 src = 00:0c:29:c2:dc:18 type = IPv4 ###[ IP ]### version = 4 ihl = 5 tos = 0x0 len = 78 id = 64622 flags = DF frag = 0 ttl = 64 proto = udp chksum = 0xbcdb src = 192.168.0.3 dst = 192.168.0.1 \options \ ###[ UDP ]### sport = 64688 dport = domain len = 58 chksum = 0x81a0 ###[ DNS ]### id = 4127 qr = 0 opcode = QUERY aa = 0 tc = 0 rd = 1 ra = 0 z = 0 ad = 0 cd = 0 rcode = ok qdcount = 1 ancount = 0 nscount = 0 arcount = 0 \qd \ |###[ DNS Question Record ]### | qname = b'mobile.events.data.microsoft.com.' | qtype = AAAA | unicastresponse= 0 | qclass = IN \an \ \ns \ \ar \
2025-09-18 12:23:49.571031,00:0c:29:c2:dc:18,###[ Ethernet ]### dst = ca:01:07:3b:00:08 src = 00:0c:29:c2:dc:18 type = IPv4 ###[ IP ]### version = 4 ihl = 5 tos = 0x0 len = 78 id = 61978 flags = DF frag = 0 ttl = 64 proto = udp chksum = 0xc72f src = 192.168.0.3 dst = 192.168.0.1 \options \ ###[ UDP ]### sport = 51009 dport = domain len = 58 chksum = 0x81a0 ###[ DNS ]### id = 42030 qr = 0 opcode = QUERY aa = 0 tc = 0 rd = 1 ra = 0 z = 0 ad = 0 cd = 0 rcode = ok qdcount = 1 ancount = 0 nscount = 0 arcount = 0 \qd \ |###[ DNS Question Record ]### | qname = b'mobile.events.data.microsoft.com.' | qtype = A | unicastresponse= 0 | qclass = IN \an \ \ns \ \ar \
2025-09-18 12:23:49.571236,00:0c:29:c2:dc:18,###[ Ethernet ]### dst = ca:01:07:3b:00:08 src = 00:0c:29:c2:dc:18 type = IPv4 ###[ IP ]### version = 4 ihl = 5 tos = 0x0 len = 78 id = 58792 flags = DF frag = 0 ttl = 64 proto = udp chksum = 0xd3a1 src = 192.168.0.3 dst = 192.168.0.1 \options \ ###[ UDP ]### sport = 22242 dport = domain len = 58 chksum = 0x81a0 ###[ DNS ]### id = 10580 qr = 0 opcode = QUERY aa = 0 tc = 0 rd = 1 ra = 0 z = 0 ad = 0 cd = 0 rcode = ok qdcount = 1 ancount = 0 nscount = 0 arcount = 0 \qd \ |###[ DNS Question Record ]### | qname = b'mobile.events.data.microsoft.com.' | qtype = HTTPS | unicastresponse= 0 | qclass = IN \an \ \ns \ \ar \
2025-09-18 12:23:49.573216,00:0c:29:c2:dc:18,###[ Ethernet ]### dst = ca:01:07:3b:00:08 src = 00:0c:29:c2:dc:18 type = IPv4 ###[ IP ]### version = 4 ihl = 5 tos = 0x0 len = 78 id = 34526 flags = DF frag = 0 ttl = 64 proto = udp chksum = 0x326c src = 192.168.0.3 dst = 192.168.0.1 \options \ ###[ UDP ]### sport = 34121 dport = domain len = 58 chksum = 0x81a0 ###[ DNS ]### id = 39306 qr = 0 opcode = QUERY aa = 0 tc = 0 rd = 1 ra = 0 z = 0 ad = 0 cd = 0 rcode = ok qdcount = 1 ancount = 0 nscount = 0 arcount = 0 \qd \ |###[ DNS Question Record ]### | qname = b'mobile.events.data.microsoft.com.' | qtype = AAAA | unicastresponse= 0 | qclass = IN \an \ \ns \ \ar \
2025-09-18 12:23:49.573319,00:0c:29:c2:dc:18,###[ Ethernet ]### dst = ca:01:07:3b:00:08 src = 00:0c:29:c2:dc:18 type = IPv4 ###[ IP ]### version = 4 ihl = 5 tos = 0x0 len = 78 id = 43548 flags = DF frag = 0 ttl = 64 proto = udp chksum = 0xf2e src = 192.168.0.3 dst = 192.168.0.1 \options \ ###[ UDP ]### sport = 30288 dport = domain len = 58 chksum = 0x81a0 ###[ DNS ]### id = 30619 qr = 0 opcode = QUERY aa = 0 tc = 0 rd = 1 ra = 0 z = 0 ad = 0 cd = 0 rcode = ok qdcount = 1 ancount = 0 nscount = 0 arcount = 0 \qd \ |###[ DNS Question Record ]### | qname = b'mobile.events.data.microsoft.com.' | qtype = A | unicastresponse= 0 | qclass = IN \an \ \ns \ \ar \
2025-09-18 12:23:49.573388,00:0c:29:c2:dc:18,###[ Ethernet ]### dst = ca:01:07:3b:00:08 src = 00:0c:29:c2:dc:18 type = IPv4 ###[ IP ]### version = 4 ihl = 5 tos = 0x0 len = 78 id = 45261 flags = DF frag = 0 ttl = 64 proto = udp chksum = 0x87d src = 192.168.0.3 dst = 192.168.0.1 \options \ ###[ UDP ]### sport = 42342 dport = domain len = 58 chksum = 0x81a0 ###[ DNS ]### id = 13732 qr = 0 opcode = QUERY aa = 0 tc = 0 rd = 1 ra = 0 z = 0 ad = 0 cd = 0 rcode = ok qdcount = 1 ancount = 0 nscount = 0 arcount = 0 \qd \ |###[ DNS Question Record ]### | qname = b'mobile.events.data.microsoft.com.' | qtype = HTTPS | unicastresponse= 0 | qclass = IN \an \ \ns \ \ar \
2025-09-18 12:23:49.583867,00:0c:29:c2:dc:18,###[ Ethernet ]### dst = ca:01:07:3b:00:08 src = 00:0c:29:c2:dc:18 type = IPv4 ###[ IP ]### version = 4 ihl = 5 tos = 0x0 len = 78 id = 27285 flags = DF frag = 0 ttl = 64 proto = udp chksum = 0x4eb5 src = 192.168.0.3 dst = 192.168.0.1 \options \ ###[ UDP ]### sport = 40150 dport = domain len = 58 chksum = 0x81a0 ###[ DNS ]### id = 13143 qr = 0 opcode = QUERY aa = 0 tc = 0 rd = 1 ra = 0 z = 0 ad = 0 cd = 0 rcode = ok qdcount = 1 ancount = 0 nscount = 0 arcount = 0 \qd \ |###[ DNS Question Record ]### | qname = b'mobile.events.data.microsoft.com.' | qtype = A | unicastresponse= 0 | qclass = IN \an \ \ns \ \ar \
2025-09-18 12:23:49.583924,00:0c:29:c2:dc:18,###[ Ethernet ]### dst = ca:01:07:3b:00:08 src = 00:0c:29:c2:dc:18 type = IPv4 ###[ IP ]### version = 4 ihl = 5 tos = 0x0 len = 78 id = 27286 flags = DF frag = 0 ttl = 64 proto = udp chksum = 0x4eb4 src = 192.168.0.3 dst = 192.168.0.1 \options \ ###[ UDP ]### sport = 40150 dport = domain len = 58 chksum = 0x81a0 ###[ DNS ]### id = 10833 qr = 0 opcode = QUERY aa = 0 tc = 0 rd = 1 ra = 0 z = 0 ad = 0 cd = 0 rcode = ok qdcount = 1 ancount = 0 nscount = 0 arcount = 0 \qd \ |###[ DNS Question Record ]### | qname = b'mobile.events.data.microsoft.com.' | qtype = AAAA | unicastresponse= 0 | qclass = IN \an \ \ns \ \ar \
2025-09-18 12:23:49.593576,00:0c:29:c2:dc:18,###[ Ethernet ]### dst = ca:01:07:3b:00:08 src = 00:0c:29:c2:dc:18 type = IPv4 ###[ IP ]### version = 4 ihl = 5 tos = 0x0 len = 78 id = 44145 flags = DF frag = 0 ttl = 64 proto = udp chksum = 0xcd9 src = 192.168.0.3 dst = 192.168.0.1 \options \ ###[ UDP ]### sport = 58101 dport = domain len = 58 chksum = 0x81a0 ###[ DNS ]### id = 13143 qr = 0 opcode = QUERY aa = 0 tc = 0 rd = 1 ra = 0 z = 0 ad = 0 cd = 0 rcode = ok qdcount = 1 ancount = 0 nscount = 0 arcount = 0 \qd \ |###[ DNS Question Record ]### | qname = b'mobile.events.data.microsoft.com.' | qtype = A | unicastresponse= 0 | qclass = IN \an \ \ns \ \ar \
2025-09-18 12:23:49.594237,00:0c:29:c2:dc:18,###[ Ethernet ]### dst = ca:01:07:3b:00:08 src = 00:0c:29:c2:dc:18 type = IPv4 ###[ IP ]### version = 4 ihl = 5 tos = 0x0 len = 78 id = 44146 flags = DF frag = 0 ttl = 64 proto = udp chksum = 0xcd8 src = 192.168.0.3 dst = 192.168.0.1 \options \ ###[ UDP ]### sport = 58101 dport = domain len = 58 chksum = 0x81a0 ###[ DNS ]### id = 10833 qr = 0 opcode = QUERY aa = 0 tc = 0 rd = 1 ra = 0 z = 0 ad = 0 cd = 0 rcode = ok qdcount = 1 ancount = 0 nscount = 0 arcount = 0 \qd \ |###[ DNS Question Record ]### | qname = b'mobile.events.data.microsoft.com.' | qtype = AAAA | unicastresponse= 0 | qclass = IN \an \ \ns \ \ar \
